time,latitude,longitude,depth,magnitude,magnitude_type,latitude_error,longitude_error,depth_error,time_error,magnitude_2,magnitude_2_type,event_type,hypo_method,hypo_precision,y,x,z,rupture_length,is_main_event,distance_to_main
2001-03-24 15:27:54.500000,34.132333333333335,132.69366666666667,46.46,6.7,J,0.0026666666666666,0.0034999999999999,0.66,0.06,6.6,D,earthquake,depth free,high manual,-93.06904304455304,-281.3831270072274,51.708487152821746,25.292979964461395,True,
2000-01-03 20:00:09.710000,33.99,132.52033333333335,44.88,1.0,V,0.0018333333333333,0.0025,0.4,0.04,,,earthquake,depth free,high manual,-108.30037654903803,-297.7647331691765,51.10747191748051,,False,22.37658955433486
2000-01-04 14:30:58.590000,33.9895,133.005,9.36,0.9,V,0.003,0.0036666666666666,1.66,0.04,,,earthquake,depth free,high manual,-110.63589160038534,-254.54798404440345,14.11793354343888,,False,49.41425691719582
2000-01-05 02:20:09.640000,33.992000000000004,132.85583333333332,43.08,2.5,V,0.0026666666666666,0.0033333333333333,0.56,0.05,,,earthquake,depth free,high manual,-109.08579350468148,-267.1382620938682,48.23201394161344,,False,21.71493351797619
2000-01-06 19:26:18.990000,34.1435,132.83466666666666,16.95,1.3,V,0.0015,0.0026666666666666,0.78,0.04,,,earthquake,depth free,high manual,-92.91948774920348,-269.4660611012842,21.75760972700403,,False,32.23497921775844
2000-01-09 14:05:26.800000,34.035333333333334,133.05533333333335,12.04,0.9,V,0.0023333333333333,0.0033333333333333,1.4,0.04,,,earthquake,depth free,high manual,-105.61128241345384,-249.70076326652048,16.521550892941526,,False,48.98163353688951
2000-01-10 08:18:38.890000,33.95433333333334,132.66833333333332,46.45,0.7,v,0.0056666666666666,0.0065,1.06,0.12,,,earthquake,depth free,high manual,-112.6293296509854,-284.2953118770978,52.293234040515514,,False,19.784528343247064
2000-01-12 11:59:42.480000,33.717666666666666,132.57999999999998,47.57,0.8,V,0.0043333333333333,0.0073333333333333,1.23,0.14,,,earthquake,depth free,high manual,-138.437018226862,-293.14841240648605,54.47967776883993,,False,46.95055494985034
2000-01-18 09:14:49.220000,34.050999999999995,132.44633333333334,42.92,0.9,v,0.01,0.0185,1.49,0.24,,,earthquake,depth free,high manual,-101.39426174330389,-304.3872402751161,49.226179365498275,,False,24.58984232513273
2000-01-19 10:18:55.800000,33.79783333333333,132.33883333333335,45.27,1.0,V,0.0031666666666666,0.006,0.83,0.07,,,earthquake,depth free,high manual,-128.92316201795128,-315.05608152287795,52.750022178438655,,False,49.198277494047005
